"relative_risk_reduction","treatment_rate","risk_difference","n_fixed","n_gs_max","n_gs_expected_h1","n_gs_expected_h0"
0.1,0.05922,0.00658,56884,57560,46159.6458694443,57440.0327669038
0.125,0.057575,0.008225,35958,36384,29177.797958483,36308.2003605834
0.15,0.05593,0.00987,24658,24950,20008.6601996462,24898.3300422222
0.175,0.054285,0.011515,17886,18098,14513.3630144347,18060.1049120902
0.2,0.05264,0.01316,13518,13678,10968.3438976212,13648.7622686698
0.225,0.050995,0.014805,10540,10666,8552.70902624525,10642.8001658158
0.25,0.04935,0.01645,8424,8524,6835.41051236013,8505.83223527513
0.275,0.047705,0.018095,6868,6950,5572.63527300774,6934.46291994747
0.3,0.04606,0.01974,5692,5760,4618.14499666292,5746.71652986458
0.325,0.044415,0.021385,4782,4840,3879.95907347702,4828.13444767549
0.35,0.04277,0.02303,4066,4114,3297.90549570397,4103.83997033182
0.375,0.041125,0.024675,3490,3532,2831.29803489777,3523.20406350977
0.4,0.03948,0.02632,3022,3058,2451.83914948494,3051.01389824176
0.425,0.037835,0.027965,2638,2668,2139.36251489459,2662.17495046198
0.45,0.03619,0.02961,2316,2344,1879.18792425565,2338.4194984881
0.475,0.034545,0.031255,2048,2072,1660.42709084493,2066.19840141195
0.5,0.0329,0.0329,1818,1840,1474.86909726684,1835.29417694211
0.525,0.031255,0.034545,1624,1642,1316.22961309902,1637.88674460398
0.55,0.02961,0.03619,1454,1472,1179.63437031317,1467.91067408529
0.575,0.027965,0.037835,1308,1324,1061.25701302898,1320.60453355521
0.6,0.02632,0.03948,1182,1196,958.060809233327,1192.1894814942
