"measure","estimate","mcse","definition","scenario"
"rejection_rate",0.9032,0.00295685238048841,"Proportion of replications rejecting the null at one-sided alpha 0.025. Read as power, since the data are generated under a non-null effect.","ademp_fixed_h1"
"bias",-4.44517833553537e-05,8.23671502900637e-05,"Mean estimated risk difference minus the true value of -0.0263.","ademp_fixed_h1"
"empirical_se",0.00823671502900637,5.82452828540685e-05,"Standard deviation of the estimated risk difference across replications.","ademp_fixed_h1"
"mse",6.78386660826561e-05,9.5828985128077e-07,"Mean squared difference between the estimated and true risk difference.","ademp_fixed_h1"
"coverage",0.9456,0.00226805290943576,"Proportion of replications whose nominal 95 percent Wald interval for the risk difference contains the true value.","ademp_fixed_h1"
"mean_sample_size",3028,0,"Mean total sample size actually used, both arms combined. Constant by construction for a fixed design.","ademp_fixed_h1"
"rejection_rate",0.0244,0.00154287523798913,"Proportion of replications rejecting the null at one-sided alpha 0.025. Read as type I error, since the data are generated under the null.","ademp_fixed_h0"
"bias",8.69230607661821e-05,9.03694652125966e-05,"Mean estimated risk difference minus the true value of 0.","ademp_fixed_h0"
"empirical_se",0.00903694652125966,6.39040569467603e-05,"Standard deviation of the estimated risk difference across replications.","ademp_fixed_h0"
"mse",8.16657914063575e-05,1.1738814892139e-06,"Mean squared difference between the estimated and true risk difference.","ademp_fixed_h0"
"coverage",0.9483,0.00221420662992414,"Proportion of replications whose nominal 95 percent Wald interval for the risk difference contains the true value.","ademp_fixed_h0"
"mean_sample_size",3028,0,"Mean total sample size actually used, both arms combined. Constant by construction for a fixed design.","ademp_fixed_h0"
"rejection_rate",0.9035,0.00295275718608896,"Proportion of replications rejecting the null at one-sided alpha 0.025. Read as power, since the data are generated under a non-null effect.","ademp_gs_h1"
"bias",-0.00130776554554881,0.000104083600015148,"Mean estimated risk difference minus the true value of -0.0263.","ademp_gs_h1"
"empirical_se",0.0104083600015148,7.36018995680045e-05,"Standard deviation of the estimated risk difference across replications.","ademp_gs_h1"
"mse",0.000110033375247464,2.2611205871007e-06,"Mean squared difference between the estimated and true risk difference.","ademp_gs_h1"
"coverage",0.9279,0.00258653416756864,"Proportion of replications whose nominal 95 percent Wald interval for the risk difference contains the true value.","ademp_gs_h1"
"mean_sample_size",2490.3166,5.79458533273616,"Mean total sample size actually used, both arms combined. Constant by construction for a fixed design.","ademp_gs_h1"
"early_stopping_rate",0.6345,0.00481570088356825,"Proportion of replications stopping before the final analysis, for either efficacy or futility.","ademp_gs_h1"
"rejection_rate",0.0227,0.00148945325539273,"Proportion of replications rejecting the null at one-sided alpha 0.025. Read as type I error, since the data are generated under the null.","ademp_gs_h0"
"bias",0.00324059940219654,0.00012387958879698,"Mean estimated risk difference minus the true value of 0.","ademp_gs_h0"
"empirical_se",0.012387958879698,8.76004774223225e-05,"Standard deviation of the estimated risk difference across replications.","ademp_gs_h0"
"mse",0.000163947663538084,2.63899649182301e-06,"Mean squared difference between the estimated and true risk difference.","ademp_gs_h0"
"coverage",0.9476,0.00222832313635164,"Proportion of replications whose nominal 95 percent Wald interval for the risk difference contains the true value.","ademp_gs_h0"
"mean_sample_size",2033.3146,6.65503143245955,"Mean total sample size actually used, both arms combined. Constant by construction for a fixed design.","ademp_gs_h0"
"early_stopping_rate",0.8505,0.00356580636041836,"Proportion of replications stopping before the final analysis, for either efficacy or futility.","ademp_gs_h0"
